Vds,Vgs 1.0,Vgs 1.5,Vgs 2.0,Vgs 2.5,Vgs 3.0,Vgs 3.5,Vgs 4.0,Vgs 4.5,Vgs 5.0
0,0,0,0,0,0,0,0,0,0
0.1,1.40007935475e-05,4.40574660401233e-05,7.39942677032355e-05,0.00010359197478453,0.000133695271887314,0.000163405332306718,0.000193115392726121,0.000222825453145524,0.000252535513564927
0.2,2.313687463673e-05,8.2437934913308e-05,0.000141802149305349,0.000200877524265127,0.000259956529062014,0.000319602159062217,0.000378785792767799,0.00043796942647338,0.000497153060178962
0.3,2.57076822383808e-05,0.00011400397816351,0.00020247763759842,0.000291123359929049,0.000379330224769518,0.000468062625024468,0.000556372549091319,0.00064468247315817,0.00073299239722502
0.4,2.61234633064341e-05,0.000139888243744971,0.000257065160793863,0.000374447185050163,0.000491443679206839,0.000608443637067277,0.000726015115508225,0.000843109736127618,0.000960204356747011
0.5,2.63276441364618e-05,0.000159649256198413,0.000305190621105928,0.000450970200895235,0.000596420516947012,0.000741870854862955,0.000887852528206593,0.00103339623190562,0.00117893993560466
0.6,2.64279129882714e-05,0.000172984354475544,0.000346959927616895,0.000520354425173947,0.000694384990664262,0.00086795914852683,0.00104202060158746,0.00121568361767418,0.00138934663376089
0.7,2.64771529291186e-05,0.000180939881294671,0.000382010758249641,0.000583678760576339,0.000785458502284817,0.000986832237660444,0.0011882087923324,0.00139011027702526,0.0015915685425233
0.8,2.65013336476381e-05,0.000182765792773592,0.000411475692487375,0.000640552057903758,0.000869759661287484,0.00109861429508954,0.00132746894450111,0.00155681141413194,0.00178574644259706
0.9,2.6513208302018e-05,0.000183046622362742,0.000434915456773126,0.000691078614812817,0.000946943688263978,0.00120342667461994,0.00145944898477371,0.00171547387889935,0.00197201789880939
1,2.65190397016125e-05,0.000183180451343603,0.000451956006910222,0.000735366466371334,0.00101809263769823,0.00130138797073145,0.00158427006785259,0.00186715217806472,0.00215051735159541
1.1,2.65219033826918e-05,0.000183244227456187,0.000463763097895737,0.000773064829422638,0.00108281132235352,0.0013926140966026,0.00170205330388669,0.00201149251123419,0.002320934058616
1.2,2.65233096779402e-05,0.000183274619939489,0.000469511293724996,0.000805262438134393,0.00114120245785483,0.00147676370607355,0.00181291709530263,0.00214861583098743,0.0024843145775077
1.3,2.65240002808031e-05,0.000183289103470668,0.000470275367689626,0.000831537759558501,0.00119337194659709,0.00155490135038118,0.00191697719785315,0.00227864286137013,0.00264030852493505
1.4,2.65243394217607e-05,0.000183296005595214,0.000470628682887101,0.000851978128920657,0.00123942339267823,0.00162663798921857,0.00201434679423386,0.00240169165545384,0.00278903651667402
1.5,2.65245059669571e-05,0.000183299294801823,0.000470792059846688,0.000866329829039742,0.00127902880732407,0.00169207473510763,0.0021046957479734,0.00251787765686958,0.00293061874841126
1.6,2.65245877539011e-05,0.00018330086227288,0.000470867607334745,0.000875512430689411,0.00131321130667983,0.00175131528827135,0.00218905544238736,0.00262731377159822,0.00306517278410297
1.7,2.65246279177987e-05,0.000183301609251056,0.000470902541436773,0.000878544681539416,0.00134157798628946,0.00180446112498358,0.00226705075304382,0.00273011043745819,0.00319281361773181
1.8,2.65246476414685e-05,0.000183301965223434,0.00047091869540765,0.000878988689102772,0.00136421429645737,0.00185161151262278,0.00233878113891381,0.00282595446484155,0.00331365374324726
1.9,2.65246573273598e-05,0.000183302134862037,0.000470926165209453,0.000879187887013192,0.00138084203196091,0.00189246855340943,0.00240434805020491,0.0029158325592123,0.00342780322227498
2,2.65246620839031e-05,0.000183302215703297,0.000470929619341176,0.00087927725461889,0.00139240680496625,0.0019279760335867,0.00246385078778335,0.00299938925463319,0.00353493124916944
2.1,2.65246644197444e-05,0.000183302254228192,0.000470931216575842,0.00087931734829576,0.00139822674335513,0.0019577766995481,0.00251738652592151,0.0030767222920744,0.00363605808279579
2.2,2.65246655668284e-05,0.000183302272587227,0.000470931955157581,0.00087933533583843,0.00139906828342481,0.00198195406420701,0.00256463218607729,0.00314793084224431,0.00373081131589525
2.3,2.65246661301379e-05,0.000183302281336224,0.000470932296687228,0.000879343405733221,0.00139943451824862,0.00200022569819806,0.00260657244698755,0.00321311200105635,0.00381928859687663
2.4,2.65246664067677e-05,0.000183302285505557,0.000470932454614907,0.000879347026194826,0.00139959390282145,0.00201352426763002,0.00264282834395666,0.00327236081815778,0.00390158887400083
2.5,2.65246665426149e-05,0.000183302287492452,0.000470932527642686,0.000879348650471609,0.00139966326675527,0.00202110851135729,0.00267348202953091,0.00332577035047392,0.00397780904447164
2.6,2.65246666093267e-05,0.000183302288439307,0.000470932561411666,0.000879349379183967,0.00139969345386198,0.00202366815737821,0.00269862093321358,0.00337306093426617,0.0040480439848764
2.7,2.65246666420875e-05,0.000183302288890531,0.000470932577026875,0.000879349706112056,0.00139970659126169,0.00202398880268611,0.00271797320230308,0.0034151124802149,0.00411238660353639
2.8,2.65246666581757e-05,0.000183302289105562,0.000470932584247547,0.000879349852784436,0.00139971230864622,0.00202412413792752,0.00273243037636006,0.00345159454774759,0.00417092789138423
2.9,2.65246666660763e-05,0.000183302289208034,0.000470932587586478,0.000879349918587247,0.00139971479684698,0.00202418125916646,0.00274124035516539,0.00348258729521723,0.00422338249702277
3,2.65246666699561e-05,0.000183302289256868,0.000470932589130443,0.000879349948108891,0.00139971587970982,0.00202420536846819,0.00274545102651835,0.00350817465606747,0.00427063260234749
3.1,2.65246666718614e-05,0.000183302289280139,0.000470932589844392,0.000879349961353424,0.0013997163509708,0.00202421554434337,0.00274573211364238,0.0035281054676517,0.00431234508621973
3.2,2.6524666672797e-05,0.000183302289291229,0.000470932590174531,0.000879349967295426,0.00139971655606318,0.00202421983930178,0.00274584714483042,0.00354321075141994,0.00434859886806954
3.3,2.65246666732565e-05,0.000183302289296514,0.000470932590327192,0.000879349969961234,0.00139971664531921,0.00202422165208628,0.00274589421989116,0.00355276391314767,0.0043794761562176
3.4,2.65246666734821e-05,0.000183302289299033,0.000470932590397784,0.000879349971157217,0.00139971668416335,0.00202422241721305,0.0027459134847766,0.0035578006299295,0.0044046672553924
3.5,2.65246666735929e-05,0.000183302289300233,0.000470932590430427,0.00087934997169378,0.00139971670106829,0.00202422274015215,0.00274592136869423,0.00355829796113628,0.00442510976929724
3.6,2.65246666736474e-05,0.000183302289300805,0.000470932590445521,0.000879349971934503,0.00139971670842531,0.00202422287645592,0.00274592459509097,0.00355849523956894,0.00444041923470604
3.7,2.65246666736741e-05,0.000183302289301078,0.000470932590452501,0.0008793499720425,0.00139971671162708,0.00202422293398601,0.00274592591545436,0.00355857349502866,0.00445028321563682
3.8,2.65246666736872e-05,0.000183302289301207,0.000470932590455728,0.000879349972090952,0.00139971671302048,0.00202422295826789,0.00274592645579695,0.00355860453706035,0.00445569577362685
3.9,2.65246666736936e-05,0.000183302289301269,0.000470932590457221,0.000879349972112689,0.00139971671362689,0.00202422296851661,0.00274592667692554,0.00355861685068207,0.00445634296925624
4,2.65246666736968e-05,0.000183302289301299,0.000470932590457911,0.000879349972122441,0.0013997167138908,0.00202422297284232,0.00274592676741972,0.00355862173519822,0.00445659173058352
4.1,2.65246666736984e-05,0.000183302289301313,0.00047093259045823,0.000879349972126817,0.00139971671400565,0.00202422297466808,0.00274592680445336,0.00355862367276785,0.00445668734682615
4.2,2.65246666736991e-05,0.00018330228930132,0.000470932590458378,0.000879349972128779,0.00139971671405564,0.00202422297543868,0.00274592681960892,0.00355862444135497,0.00445672409883354
4.3,2.65246666736995e-05,0.000183302289301323,0.000470932590458446,0.00087934997212966,0.00139971671407739,0.00202422297576393,0.00274592682581115,0.00355862474623493,0.00445673822520693
4.4,2.65246666736997e-05,0.000183302289301324,0.000470932590458477,0.000879349972130055,0.00139971671408686,0.00202422297590121,0.00274592682834933,0.00355862486717346,0.0044567436549638
4.5,2.65246666736998e-05,0.000183302289301325,0.000470932590458492,0.000879349972130232,0.00139971671409098,0.00202422297595915,0.00274592682938806,0.00355862491514685,0.00445674574200066
4.6,2.65246666736998e-05,0.000183302289301325,0.000470932590458499,0.000879349972130312,0.00139971671409277,0.00202422297598361,0.00274592682981314,0.00355862493417674,0.00445674654419551
4.7,2.65246666736998e-05,0.000183302289301326,0.000470932590458502,0.000879349972130348,0.00139971671409355,0.00202422297599393,0.0027459268299871,0.00355862494172544,0.00445674685253533
4.8,2.65246666736999e-05,0.000183302289301326,0.000470932590458503,0.000879349972130364,0.00139971671409389,0.00202422297599829,0.00274592683005829,0.00355862494471982,0.00445674697105198
4.9,2.65246666736999e-05,0.000183302289301326,0.000470932590458504,0.000879349972130371,0.00139971671409404,0.00202422297600013,0.00274592683008743,0.00355862494590763,0.00445674701660626
5,2.65246666736999e-05,0.000183302289301326,0.000470932590458504,0.000879349972130374,0.0013997167140941,0.0020242229760009,0.00274592683009935,0.0035586249463788,0.00445674703411596
